Length,Width,Layer Number
230,90,2.10526
80,50,1.05263
120,90,2.63158
70,55,1.05263
180,120,1.05263
250,80,3.15789
90,40,1.05263
140,120,3.15789
160,80,1.05263
90,60,2.10526
80,40,2.10526
40,35,3.68421
70,40,1.05263
80,50,1.05263
120,80,2.10526
130,120,3.15789
180,75,2.63158
50,40,1.05263
120,40,1.05263
190,80,1.05263
120,50,1.05263
260,45,1.05263
150,60,1.05263
140,75,3.15789
90,30,1.05263
150,50,4.73684
120,50,1.05263
150,50,1.05263
110,60,6.84211
190,60,1.05263
110,75,1.05263
60,40,1.05263
120,60,1.05263
150,100,1.05263
170,40,1.05263
80,55,1.05263
160,130,1.05263
90,40,2.63158
200,60,2.10526
180,60,2.10526
150,75,2.10526
180,80,1.57895
230,120,1.05263
130,40,1.05263
100,40,1.05263
50,30,3.68421
100,45,2.10526
140,80,1.05263
100,90,1.05263
60,30,1.57895
100,60,1.05263
120,70,5.78947
100,80,1.05263
180,110,2.10526
260,40,1.05263
190,40,1.05263
210,200,2.10526
130,40,3.15789
230,75,2.10526
90,40,2.10526
110,80,1.05263
130,40,2.10526
90,60,1.05263
150,100,1.05263
160,130,1.05263
140,90,1.05263
110,60,3.15789
90,30,1.05263
90,50,1.05263
90,70,2.10526
140,55,1.05263
60,50,2.10526
80,60,2.10526
180,130,1.57895
190,90,1.05263
310,120,3.15789
170,80,1.05263
110,40,1.05263
80,40,3.15789
120,55,1.05263
90,50,1.05263
80,45,2.10526
60,55,6.84211
170,60,1.05263
80,55,1.05263
200,100,2.10526
100,70,2.10526
75,40,1.05263
75,30,1.05263
80,50,4.73684
110,30,1.05263
90,40,1.05263
80,50,2.10526
120,100,1.05263
60,40,1.05263
170,50,1.05263
170,110,1.05263
120,75,2.10526
120,100,1.05263
180,100,2.63158
160,70,1.05263
150,80,2.10526
200,100,1.05263
110,75,2.10526
250,50,3.15789
280,60,1.05263
170,30,2.10526
170,60,1.05263
170,70,1.05263
70,50,1.05263
120,80,1.05263
170,120,1.05263
100,70,2.10526
100,60,1.05263
170,80,2.63158
110,40,3.68421
100,50,3.15789
100,70,4.21053
130,50,2.63158
150,110,1.05263
80,50,2.10526
150,120,1.05263
60,40,2.10526
160,40,1.05263
100,40,1.05263
140,40,2.10526
220,30,1.05263
80,50,3.68421
90,60,3.15789
90,50,3.15789
55,40,1.05263
140,60,1.57895
100,30,1.05263
160,140,3.68421
120,80,1.05263
150,75,1.05263
100,40,1.05263
120,80,1.05263
120,100,3.15789
100,60,4.21053
120,55,1.05263
170,50,1.05263
160,100,2.10526
210,75,3.15789
80,50,1.05263
90,50,1.05263
270,60,1.05263
110,60,5.26316
140,90,3.15789
100,60,1.05263
100,50,1.05263
180,120,2.10526
120,30,1.05263
75,40,1.05263
140,75,2.10526
70,40,2.10526
80,40,3.15789
100,40,2.63158
210,60,2.10526
100,50,1.05263
190,60,1.05263
160,75,1.05263
180,120,2.10526
220,50,1.05263
80,75,1.05263
160,120,2.10526
110,40,1.05263
120,80,2.10526
160,70,2.10526
90,80,1.05263
110,80,1.05263
70,50,2.10526
70,40,1.05263
240,40,1.05263
200,70,1.05263
90,60,2.10526
80,50,2.10526
90,50,2.10526
55,50,1.05263
150,80,1.57895
120,50,1.05263
110,40,3.68421
110,60,3.15789
160,90,1.05263
190,130,2.10526
75,40,1.05263
120,85,1.05263
100,40,1.05263
110,40,2.10526
90,80,1.57895
