# Length, Width, Layers
4.403529636561203375e+01,3.457017653997364448e+01,1.105269120360652391e+00
4.254422708778680828e+01,3.838760030372707632e+01,1.223866790394718684e+00
4.224109208864567222e+01,3.495536371087933958e+01,1.478895380054315201e+00
4.737685290131478411e+01,3.801146430040390101e+01,1.443363101801822479e+00
4.752365138292692137e+01,3.826712936690832123e+01,1.223799550314843110e+00
4.249016680115233413e+01,3.652853037734362118e+01,1.233304919434410341e+00
4.492138544426020275e+01,3.273934873487603880e+01,1.158302647932507812e+00
4.268202819383399316e+01,3.143394090486030379e+01,1.451394595497476736e+00
4.275190608208747989e+01,3.720697382340030401e+01,1.031955699826336170e+00
4.271062101563388325e+01,3.683923702262034539e+01,1.467133269523924533e+00
4.147146601297824731e+01,3.013038620989119920e+01,1.212971858810554027e+00
4.905553522340129291e+01,3.687850939212925994e+01,1.132597724483854762e+00
4.793766705626704550e+01,3.531432155087002656e+01,1.123064300659071257e+00
4.378232283779840373e+01,3.885544355875260436e+01,1.480241423401923662e+00
4.982846704555073813e+01,3.666237153789434444e+01,1.107936447627157373e+00
4.631057265568572490e+01,3.567696452230737236e+01,1.104975659047070513e+00
4.741102610263612860e+01,3.158161313510442625e+01,1.496095650307974090e+00
4.736278746267790041e+01,3.513802370244932405e+01,1.245112717458540574e+00
4.632723783337857526e+01,3.298935333139196047e+01,1.220685432119155811e+00
4.333321324912476058e+01,3.221814065072784672e+01,1.436398505460033448e+00
4.164897244838738999e+01,3.113421324608667007e+01,1.198909737590724944e+00
4.947789572715974771e+01,3.393505571350374339e+01,1.024133883038374826e+00
4.472627772719852857e+01,3.028186357078879709e+01,1.490685468577831241e+00
4.402236474788106335e+01,3.024068203512162256e+01,1.220641958637955105e+00
4.670232671258336410e+01,3.502336452279121204e+01,1.426520417311875288e+00
4.815378907931948049e+01,3.825621435092045175e+01,1.422135856604652915e+00
4.816131506925425043e+01,3.383445572512238897e+01,1.176122684171574173e+00
4.018497456158177528e+01,3.724110175181180438e+01,1.420025885032453639e+00
4.650064700270876727e+01,3.116460033646826844e+01,1.120004207627549153e+00
4.256903923703109172e+01,3.726374888745444736e+01,1.330677498243490575e+00
4.690408345352016539e+01,3.115726930978607001e+01,1.148301834384467757e+00
4.626129215584622756e+01,3.093451592232178626e+01,1.196036991143923034e+00
4.511105510859906076e+01,3.503411855929432761e+01,1.070130227414622937e+00
4.099177372879267267e+01,3.457562200949089259e+01,1.484905740303147814e+00
4.387639616950018251e+01,3.216883564773034720e+01,1.102132570113529608e+00
4.397413307879944000e+01,3.567919142230498153e+01,1.047349831275177445e+00
4.268342217736662292e+01,3.287201991263819423e+01,1.427251504097900803e+00
4.908686601305440433e+01,3.900269325412016030e+01,1.389625594069273218e+00
4.903319792881570294e+01,3.923680269942600773e+01,1.986461843230930446e+00
4.992526963069020240e+01,3.993922624988607595e+01,1.704070705571231636e+00
4.910437262178099616e+01,3.114160682033367067e+01,1.813842336958147117e+00
4.186808191224406528e+01,3.155042798673109417e+01,1.986542267345722923e+00
4.821083494812049253e+01,3.801095099974855884e+01,1.928287034659033505e+00
