Length,Width,Layer Number
90,70,1.05263
60,55,1.05263
90,50,4.21053
75,50,2.10526
100,40,1.05263
180,40,2.10526
55,40,2.10526
70,30,3.15789
60,50,1.05263
120,50,1.05263
110,60,1.05263
90,30,1.05263
70,30,4.73684
90,60,1.05263
70,35,2.10526
80,55,1.05263
70,40,2.10526
90,75,1.05263
70,45,2.10526
80,30,1.05263
80,75,2.63158
50,30,1.05263
40,30,1.05263
90,40,1.05263
210,90,1.05263
100,75,1.05263
110,50,1.05263
75,50,1.57895
150,50,1.05263
90,35,1.05263
55,50,1.05263
120,50,1.05263
160,75,2.63158
100,30,1.05263
45,30,1.57895
60,30,1.05263
70,30,1.05263
70,50,1.05263
80,40,2.10526
60,40,1.05263
150,40,1.05263
120,50,1.05263
130,50,1.05263
65,30,1.57895
190,60,2.10526
75,70,1.05263
120,75,1.05263
60,30,1.05263
100,70,1.05263
120,65,1.05263
130,25,1.05263
110,65,2.10526
150,80,1.05263
100,90,1.05263
50,40,1.05263
60,30,2.10526
80,30,1.05263
40,30,1.05263
60,30,2.63158
100,50,1.05263
130,80,1.05263
150,80,1.05263
60,55,1.05263
75,55,1.57895
50,45,1.05263
140,70,1.05263
70,60,1.05263
50,40,1.05263
100,55,2.10526
50,45,1.05263
90,75,1.05263
90,55,1.05263
130,50,1.05263
100,40,1.05263
110,55,1.05263
70,30,2.10526
80,40,3.68421
90,60,1.05263
50,45,1.05263
80,40,1.05263
90,35,2.63158
125,55,1.05263
70,55,1.05263
60,30,1.05263
70,45,1.05263
60,450,1.57895
140,50,1.05263
65,40,1.05263
50,30,1.05263
50,30,3.68421
110,40,1.57895
110,50,1.05263
110,45,2.10526
70,40,1.57895
200,70,1.05263
80,70,1.05263
40,40,1.05263
110,75,1.05263
100,50,1.05263
100,45,1.57895
220,100,1.05263
80,50,2.63158
130,60,2.63158
90,60,2.10526
70,450,1.05263
90,45,1.05263
90,55,1.05263
120,55,1.05263
50,40,1.05263
80,50,2.10526
160,90,1.05263
150,130,1.05263
240,40,1.05263
100,45,1.05263
80,50,1.05263
160,60,2.10526
110,40,2.10526
120,65,1.05263
60,50,1.05263
170,90,1.05263
180,80,1.05263
90,50,5.78947
70,50,4.73684
75,60,3.68421
160,100,1.05263
190,50,1.05263
210,30,1.05263
80,70,1.05263
70,50,1.05263
100,40,1.57895
75,50,4.73684
130,60,1.05263
100,70,1.05263
60,40,2.10526
70,45,2.10526
70,40,2.63158
80,60,1.05263
70,40,1.05263
70,35,2.63158
100,50,1.05263
110,80,1.05263
75,30,1.57895
