Length / nm,Width / nm,Layer Number
223.09268,170.82806,0.93365
273.55297,94.64514,1.10302
174.265,35.04787,1.49653
94.25621,66.04171,1.50458
256.88868,77.70477,1.55497
132.45814,56.2998,1.5824
296.69727,219.18748,1.63126
274.21227,32.36069,1.70766
157.50099,22.39906,1.71936
129.43643,39.5769,1.76063
229.20765,109.15169,1.79211
167.78099,114.81908,1.84954
515.51925,212.16147,1.98824
67.07538,49.25639,2.00917
125.83784,92.51656,2.12459
450.6233,280.88283,2.18988
212.07749,96.69252,2.22294
192.39987,105.37798,2.29345
146.97403,125.65833,2.29622
98.43769,51.73627,2.34668
216.58878,130.59054,2.45507
145.82117,103.54562,2.52735
142.5626,47.86945,2.55154
133.6649,131.87086,2.5647
119.55724,74.8234,2.74592
303.88626,202.56513,2.76191
141.91482,52.79027,2.77014
83.36835,49.83023,2.82184
110.46162,115.59131,2.84192
158.38868,77.98548,2.86754
242.95294,145.92428,2.94402
182.26005,69.16226,3.01201
142.99131,110.7133,3.05564
151.43725,122.12895,3.06972
105.85094,69.96163,3.10144
228.60263,127.20645,3.21031
200.60066,69.94698,3.24224
364.9124,77.59028,3.25409
168.92734,75.56656,3.28175
291.68561,204.99207,3.36865
101.36912,52.44636,3.37205
108.46147,48.24398,3.395
139.8637,68.56619,3.39714
154.19461,87.81595,3.40529
132.37263,106.31785,3.45703
222.78086,91.76682,3.47676
150.83722,103.0087,3.49836
114.9744,71.01975,3.5111
207.58668,105.48489,3.5473
192.73958,104.177,3.55154
199.90254,103.11994,3.57537
171.49621,49.43473,3.59073
316.75853,105.22148,3.60147
210.11085,80.53758,3.61202
112.78788,70.46011,3.61937
170.25791,58.10245,3.64435
249.45041,87.71,3.66721
115.43884,62.41489,3.72661
279.32371,196.09495,3.74053
242.6382,184.75487,3.75044
420.58945,124.13325,3.88153
114.7106,106.23391,3.90835
265.86176,98.27078,3.91103
170.14293,83.53062,3.9211
166.3684,52.60196,3.92264
124.23244,96.38049,3.925
123.77125,51.90867,3.92619
115.15464,80.78226,3.96007
218.78074,58.21523,3.98978
164.50316,115.85277,3.99602
106.48555,73.85818,4.00361
113.72272,110.87447,4.01173
122.41229,52.92981,4.0362
188.18437,126.67033,4.06661
280.74756,112.02036,4.10761
122.63189,55.27353,4.14234
151.59208,129.60726,4.14314
172.30049,58.5483,4.16851
163.48439,59.09179,4.17632
579.90717,109.03056,4.17645
227.02175,39.92487,4.17654
120.19772,88.59211,4.18832
112.55255,89.8502,4.23327
144.32736,92.26437,4.23841
257.19178,183.05032,4.24231
175.45887,84.57362,4.24744
192.69872,65.45493,4.31483
201.60869,104.50001,4.32681
109.54261,88.77178,4.35187
161.03949,46.24276,4.386
250.27532,138.75328,4.39936
647.4206,86.26018,4.44689
180.47879,117.11105,4.48261
188.94308,55.95858,4.52274
131.85389,87.199,4.5244
160.26506,77.20289,4.55516
278.20903,171.76191,4.58375
99.06395,50.99268,4.597
235.15317,83.90526,4.66864
146.56928,103.59614,4.69465
222.84801,170.07616,4.71847
244.03334,140.46462,4.76899
238.01556,145.79398,4.84159
245.05618,96.9434,4.85747
125.33786,74.96106,4.88382
150.25013,69.46675,4.91126
192.36523,123.51434,4.91253
220.37023,153.67905,4.92159
208.99239,133.79355,4.9336
195.4647,56.92883,4.93557
127.74639,111.44331,4.98755
80.50617,49.94409,4.99629
183.15367,68.25523,5.00623
88.9981,79.11592,5.02163
