Length / nm,Width / nm,Layer Number
100.37869,69.47057,1.01135
102.58053,84.47222,1.11074
158.86118,51.45457,1.14504
132.00149,89.30016,1.16251
284.74702,41.60552,1.18183
101.71016,56.93966,1.22898
146.20113,35.78451,1.28938
55.8003,49.86213,1.29915
222.86913,61.99833,1.31963
182.82164,143.69375,1.3536
249.47443,36.83797,1.40289
82.51287,37.00697,1.41048
110.17322,35.71367,1.417
192.82289,27.25132,1.45639
89.22112,51.32156,1.52821
118.33838,37.41901,1.529
113.26863,56.39954,1.55229
69.78176,57.26044,1.5808
110.4588,16.42326,1.58676
58.65902,40.57184,1.60491
69.20423,57.134,1.64058
125.15947,40.0356,1.67046
54.01848,34.58147,1.7387
90.70491,41.24106,1.76025
99.77577,12.57451,1.78318
58.03089,22.51422,1.78695
223.51129,137.27966,1.79806
67.38631,21.7634,1.79946
156.27152,48.14445,1.84143
158.16273,60.31656,1.89233
152.20525,18.44005,1.89483
138.58168,13.73176,1.92595
93.76283,4.11842,1.92867
155.87585,42.59383,1.94019
70.6389,22.46084,1.95115
170.54234,112.95012,1.97471
92.79064,32.98167,2.01169
116.09493,26.81434,2.0506
96.76931,47.04547,2.06817
125.95262,64.64288,2.07529
54.74478,17.40182,2.076
108.61271,60.47834,2.17962
234.32079,74.03235,2.1836
185.57302,43.05986,2.19289
64.36496,39.36417,2.25467
193.10483,79.48675,2.26244
80.38433,37.18002,2.28414
74.04002,27.15539,2.30534
71.68474,27.14948,2.33182
128.8201,72.98518,2.33776
128.94934,78.87212,2.34375
190.63473,74.50145,2.34719
207.01198,50.11639,2.35484
111.58783,20.99368,2.35491
93.4677,25.81231,2.37486
131.46983,63.22069,2.38829
109.95932,26.06876,2.39658
65.38122,27.33627,2.39886
114.04149,9.23873,2.41639
149.78914,64.20956,2.42442
101.00265,60.56298,2.4339
88.56431,40.08679,2.43967
91.16671,84.35784,2.45111
111.34926,32.31337,2.47648
73.51462,31.56181,2.48066
50.89119,22.61088,2.48428
153.78826,77.62908,2.49464
83.26465,26.57474,2.49537
63.99196,42.50242,2.50258
171.92878,154.19326,2.517
53.76769,30.49063,2.5579
162.06895,63.85756,2.56875
136.2362,23.288,2.57066
69.19518,51.55291,2.57921
106.48569,25.92906,2.58221
119.60198,4.85682,2.5891
95.42125,91.40666,2.59089
125.11789,31.04098,2.59969
100.98504,59.7174,2.62444
125.30527,99.45349,2.65548
58.94758,63.87776,2.6565
69.60426,64.51611,2.6721
78.12674,48.63146,2.68506
79.80784,81.76812,2.70702
51.52453,40.49242,2.71608
69.07848,28.03911,2.72013
53.60477,17.40197,2.74847
166.94022,36.73039,2.7514
109.36515,85.44117,2.78044
109.92249,54.65121,2.78514
58.67727,27.64913,2.78522
202.40028,30.73062,2.78675
83.13389,38.4396,2.8008
61.5497,26.47891,2.81237
80.20858,41.07117,2.81448
89.37053,56.60123,2.82497
147.74371,71.96808,2.83331
76.38415,55.17653,2.84702
69.52299,22.63169,2.84702
