Length / nm,Width / nm,Layer Number
119.90609,13.1908,0.91949
130.45655,37.62674,0.9258
99.05181,7.34653,0.92645
44.71366,21.52386,0.92813
69.77102,34.06505,0.96777
29.5322,21.53843,0.98232
65.22581,22.39743,1.02253
56.82784,21.81953,1.04481
62.97123,37.91635,1.04861
59.7366,46.95967,1.07289
28.06496,14.10157,1.07839
41.69302,25.76858,1.08844
108.57386,80.68797,1.09643
73.03841,1.97047,1.10252
52.74661,30.40461,1.10557
57.824,9.97825,1.10945
55.73646,15.04538,1.11748
74.73387,22.60054,1.12429
49.57313,22.44927,1.14446
27.21628,8.81342,1.14497
50.03934,22.90948,1.15513
52.77398,36.23237,1.18062
57.797,26.69153,1.18118
89.85394,15.32296,1.18404
84.40643,38.46497,1.18949
62.52921,54.37433,1.20045
42.17407,18.3594,1.21635
71.80481,26.63792,1.23529
161.51107,13.62789,1.24979
109.84337,20.23274,1.25809
52.39172,29.87755,1.27406
127.98477,57.67359,1.27866
146.88846,25.03495,1.28366
119.58122,54.05818,1.28914
52.55726,59.08183,1.29613
79.62036,38.59206,1.30279
102.42706,21.96403,1.30446
30.57082,8.25253,1.31369
27.02043,8.61435,1.3172
34.09736,23.52249,1.33138
41.07019,23.14438,1.33248
44.32747,7.44029,1.34297
21.33772,25.49474,1.3764
38.9714,24.79327,1.39327
17.14283,5.11272,1.3945
53.35891,32.48037,1.40629
66.76924,28.16411,1.40771
54.71404,33.23824,1.41614
40.73839,38.75432,1.43482
60.22517,29.22727,1.43607
57.99306,14.88565,1.44109
45.7691,14.20738,1.44429
119.81888,56.8804,1.44793
115.10912,34.24939,1.45472
91.4509,86.69436,1.46248
60.09014,21.50692,1.48035
87.56603,80.86641,1.48055
73.54403,55.37691,1.49786
30.85043,26.96778,1.50497
21.85367,10.66899,1.50944
57.05191,7.47195,1.51433
37.96607,26.57149,1.51873
32.2286,19.59635,1.52314
80.02012,14.98909,1.52695
39.58946,24.52931,1.5313
34.63925,8.19028,1.53152
34.94599,15.2282,1.53974
52.5035,13.40524,1.54494
40.55337,18.62844,1.5503
168.30078,15.68125,1.5648
114.58243,13.94456,1.57221
66.65263,26.70756,1.58044
55.15314,21.95436,1.58912
46.29551,22.05437,1.60435
46.02929,4.82482,1.61693
75.76539,34.61312,1.62957
60.85038,28.02032,1.64263
74.13454,50.00065,1.64518
83.75291,85.42077,1.64875
84.8457,21.42094,1.67104
82.67064,27.58784,1.67261
35.76995,18.88997,1.67618
41.25656,28.69369,1.68032
114.79216,35.92421,1.68381
59.15527,27.85669,1.68645
48.3988,16.43912,1.68719
49.27059,37.97979,1.70067
27.32799,13.55616,1.70141
73.32552,37.15286,1.70436
31.73323,6.9228,1.70512
35.5966,12.68914,1.71687
63.29015,42.07477,1.72035
66.53124,22.37236,1.74536
31.2949,22.63074,1.75185
110.16131,29.85782,1.75926
81.9635,24.73574,1.76694
59.84681,36.68045,1.77187
107.46475,10.78609,1.77758
76.76454,35.6595,1.78109
38.32922,35.52969,1.80642
48.18128,13.86966,1.80971
48.24087,37.94852,1.81767
84.31136,14.10186,1.82308
57.54016,53.84305,1.82429
83.13916,57.45752,1.83515
73.93102,35.71739,1.84103
28.69997,2.52139,1.84686
53.70543,33.42553,1.86265
174.99603,140.50758,1.8628
49.95181,32.92197,1.86507
36.02497,27.41371,1.87301
84.47474,14.25485,1.87891
37.68204,19.93348,1.90678
46.32103,13.51449,1.9087
51.22405,10.64991,1.93365
35.11088,13.84251,1.94235
69.27313,66.1318,1.94336
