# Length, Width, Layers, 900 rpm Fraction, 1800 rpm Fraction, 2900 rpm Fraction, 6500 rpm Fraction, 9000 rpm Fraction, Sed 1800 Weighting, Sed 2900 Weighting, Sed 6500 Weighting, Sed 9000 Weighting
2.500000000000000000e+01,1.800000000000000000e+01,1.052629999999999955e+00,9.953446142918617179e-01,9.813998638654206630e-01,9.518379522325598474e-01,7.618751412236899334e-01,5.516965118412359148e-01,1.851354532664895025e-02,4.704618460422216319e-02,2.214048942808086728e-01,3.175692204948162845e-01
2.700000000000000000e+01,2.000000000000000000e+01,1.052629999999999955e+00,9.949004671206329586e-01,9.796275533869106544e-01,9.472611405376182292e-01,7.396414103185832145e-01,5.106785605222309288e-01,2.026855665175275600e-02,5.140097535377097238e-02,2.403711042168253931e-01,3.341379554166942212e-01
7.000000000000000000e+01,4.000000000000000000e+01,1.052629999999999955e+00,9.883940803062167824e-01,9.537092643673505954e-01,8.805739115023456520e-01,4.233067708682104469e-01,0.000000000000000000e+00,4.575348907233067752e-02,1.125758786701792635e-01,4.786926994767148336e-01,3.513720130869920077e-01
4.700000000000000000e+01,3.500000000000000000e+01,1.052629999999999955e+00,9.911022440060056615e-01,9.644871382614420563e-01,9.082496869984234555e-01,5.528685830621992148e-01,1.717880039429946770e-01,3.519687696015982858e-02,8.770461662634321254e-02,3.881998317215341610e-01,3.975425189840408047e-01
5.800000000000000000e+01,3.000000000000000000e+01,1.052629999999999955e+00,9.908491149428499956e-01,9.634791301879094272e-01,9.056579449229408274e-01,5.406327305953042561e-01,1.499411675028325674e-01,3.618667153025301175e-02,9.006481681643108139e-02,3.971678508632614513e-01,3.973428094339255812e-01
6.000000000000000000e+01,5.500000000000000000e+01,1.052629999999999955e+00,9.874014097013601443e-01,9.497622790565556361e-01,8.704584524272988011e-01,3.765531717954354041e-01,0.000000000000000000e+00,4.960479647974047612e-02,1.214836245851664831e-01,5.089277435875855238e-01,3.073852450488676613e-01
9.000000000000000000e+01,6.000000000000000000e+01,1.052629999999999955e+00,9.838885000516452983e-01,9.358100732282066403e-01,8.347860313042640978e-01,2.142118673966333653e-01,0.000000000000000000e+00,6.315573076992475610e-02,1.521179149212483761e-01,6.039684310991240146e-01,1.646464232613481238e-01
4.000000000000000000e+01,3.000000000000000000e+01,1.052629999999999955e+00,9.923996320501879964e-01,9.696555665722900175e-01,9.215493544085866517e-01,6.159941510527399133e-01,2.851903465214696287e-01,3.011380456843082420e-02,7.549194440941120465e-02,3.405340379104334625e-01,3.904718106294223223e-01
8.000000000000000000e+01,2.800000000000000000e+01,1.052629999999999955e+00,9.896183016558498524e-01,9.585795969217066892e-01,8.930703357231675188e-01,4.815083317813346753e-01,4.499098438714686787e-02,4.099038894824136303e-02,1.014364642294569574e-01,4.392617074220242501e-01,3.895765804452182013e-01
5.000000000000000000e+01,2.500000000000000000e+01,1.052629999999999955e+00,9.922430071039661792e-01,9.690314408298867921e-01,9.199423573707551371e-01,6.083366982160637315e-01,2.713722048375156182e-01,3.072833627663018596e-02,7.697659789987087997e-02,3.464411021963711423e-01,3.920724093674088917e-01
1.050000000000000000e+02,3.000000000000000000e+01,1.052629999999999955e+00,9.876907773555078096e-01,9.509126415530589904e-01,8.734055457867688776e-01,3.901416003271542809e-01,0.000000000000000000e+00,4.848313122278757881e-02,1.188984793550652563e-01,5.002724356879861833e-01,3.200367310896687911e-01
1.000000000000000000e+02,6.800000000000000000e+01,1.052629999999999955e+00,9.819231358915943009e-01,9.280148316866163594e-01,8.149129525313625333e-01,1.254667826242853723e-01,0.000000000000000000e+00,7.068390220796194612e-02,1.686585793000873190e-01,6.494114488390052564e-01,9.316920554453983483e-02
4.000000000000000000e+01,3.500000000000000000e+01,1.052629999999999955e+00,9.917910762094097610e-01,9.672308384805484716e-01,9.153076566165501138e-01,5.862982660864033413e-01,2.316983817468863116e-01,3.250016196985683337e-02,8.124459551339979768e-02,3.632492845134600579e-01,3.955193944575156051e-01
2.200000000000000000e+01,1.900000000000000000e+01,1.052629999999999955e+00,9.955131289972936059e-01,9.820724013533183028e-01,9.535752717487755437e-01,7.703326984434061275e-01,5.673371710530492606e-01,1.784715982416573699e-02,4.538787693933243883e-02,2.141137937436651262e-01,3.107229970334421387e-01
3.000000000000000000e+01,2.000000000000000000e+01,1.052629999999999955e+00,9.946247425098260209e-01,9.785275066608928318e-01,9.444214572987474909e-01,7.258806471278111960e-01,4.853639652538948024e-01,2.135707315845347676e-02,5.409279872079375551e-02,2.519636207136320971e-01,3.433709519952500289e-01
3.500000000000000000e+01,2.000000000000000000e+01,1.052629999999999955e+00,9.941942643181952421e-01,9.768103460619298462e-01,9.399903901877767476e-01,7.044603774397355522e-01,4.460683228136125833e-01,2.305502093675315667e-02,5.827768706865810167e-02,2.697867598024558111e-01,3.562195005872608733e-01
4.700000000000000000e+01,2.000000000000000000e+01,1.052629999999999955e+00,9.932727250361982341e-01,9.731355909195356091e-01,9.305145680159047084e-01,6.588659084693274659e-01,3.628692688586431236e-01,2.668368481384009172e-02,6.716385701094262917e-02,3.068245927746349189e-01,3.775640474597857787e-01
4.000000000000000000e+01,3.000000000000000000e+01,1.052629999999999955e+00,9.923996320501879964e-01,9.696555665722900175e-01,9.215493544085866517e-01,6.159941510527399133e-01,2.851903465214696287e-01,3.011380456843082420e-02,7.549194440941120465e-02,3.405340379104334625e-01,3.904718106294223223e-01
4.500000000000000000e+01,2.500000000000000000e+01,1.052629999999999955e+00,9.926408290502590770e-01,9.706167932174745161e-01,9.240248360577504316e-01,6.278061710997226985e-01,3.065390314886958234e-01,2.916697074076124441e-02,7.320008433913582913e-02,3.313544047035290596e-01,3.875887671315052518e-01
3.700000000000000000e+01,1.800000000000000000e+01,1.052629999999999955e+00,9.943369491463325271e-01,9.773794697316618985e-01,9.414587696320430021e-01,7.115516516425595128e-01,4.590625448879955828e-01,2.249242905509163393e-02,5.689297393249792556e-02,2.639162623165758337e-01,3.521693696297033549e-01
3.500000000000000000e+01,2.500000000000000000e+01,1.052629999999999955e+00,9.935093565969311813e-01,9.740790295469639037e-01,9.329464674063567831e-01,6.705397936576417139e-01,3.841137308963405439e-01,2.575272667716399511e-02,6.489150072703941952e-02,2.974581317631560529e-01,3.728618569361477064e-01
6.500000000000000000e+01,4.500000000000000000e+01,1.052629999999999955e+00,9.881380985745975565e-01,9.526912626333344791e-01,8.779639321322222356e-01,4.112128165638153088e-01,0.000000000000000000e+00,4.674756578746186442e-02,1.148835989492943410e-01,4.866366896648596785e-01,3.398702441729816726e-01
5.500000000000000000e+01,3.500000000000000000e+01,1.052629999999999955e+00,9.903753072304511962e-01,9.615926771036295007e-01,9.008094428480911686e-01,5.177997611035441983e-01,1.092901324938164026e-01,3.803766421339205284e-02,9.446290140759772136e-02,4.136674053473176071e-01,3.956598576273288592e-01
1.000000000000000000e+02,8.000000000000000000e+01,1.052629999999999955e+00,9.803953611095055365e-01,9.219604476689521322e-01,7.995063916703110118e-01,5.749196635626161594e-02,0.000000000000000000e+00,7.650961508842180070e-02,1.812233147375399422e-01,6.811151470972560684e-01,4.154728418628772513e-02
3.800000000000000000e+01,3.000000000000000000e+01,1.052629999999999955e+00,9.925919602103895345e-01,9.704220301574277840e-01,9.235232049550179401e-01,6.254109997888938066e-01,3.022067884229271972e-01,2.935885506508251197e-02,7.366498076273930717e-02,3.332224343321350535e-01,3.882142458073540858e-01
6.500000000000000000e+01,5.500000000000000000e+01,1.052629999999999955e+00,9.868875273760355782e-01,9.477197791444867958e-01,8.652280213599047309e-01,3.525034353368704521e-01,0.000000000000000000e+00,5.159469789077042456e-02,1.260512652376224452e-01,5.239811328329658791e-01,2.852604314146768294e-01
