Length, Width, Layers
4.120702138,5.907672415,0.53613231
0.257627615,7.685510564,0.831554003
4.690079745,2.296652742,0.918527091
1.305428457,5.888149646,0.679087831
0.188023015,5.635974688,0.676096676
5.671485265,4.557488037,0.761356918
5.038477213,0.094076993,0.526303013
9.535868913,6.157341867,0.755223785
1.224921769,9.681922266,0.788182322
3.201722191,3.21214569,1.166647987
3.592251617,4.51400871,1.239945524
5.568729785,9.556666202,1.25890191
9.857543544,3.227620158,1.446643634
4.433967427,9.628567519,1.084874019
2.229582301,9.12674832,1.069617222
8.137882012,5.924358357,1.248636561
6.94307153,6.701836436,1.148077214
2.735058616,6.161280695,1.214486374
0.456654272,7.373919377,1.351186732
5.596995325,7.496886681,1.717662076
3.062640064,1.361276721,1.812731458
0.598047948,6.750962989,1.762391919
7.253223696,6.14158716,1.687351183
2.127446631,1.450145501,1.752662912
1.477306459,8.734198069,1.917403595
6.833359742,2.230130235,1.968475368
9.96453807,4.665997061,1.679671542
0.947916971,1.473272774,1.526508293
2.839136924,4.595397155,1.653129823
4.973140946,13.4404504,1.76903456
4.294841697,18.76383742,1.769695312
5.568877596,16.88365237,1.8896108
8.862124656,15.72450558,1.659994914
9.483287818,10.68139308,1.745251518
8.966522934,12.87685572,1.515595546
8.157977895,15.97447315,1.57139804
2.443254944,14.65423962,1.779215477
6.093185883,12.11827864,1.542136408
9.099021486,10.02887362,1.564498154
17.28231155,6.377643445,0.977236885
19.73930082,7.78795988,0.768566803
17.11411365,0.0430648,0.966863699
14.59925861,9.176158078,0.821810321
11.57367982,0.304395816,0.693993762
18.08033771,2.608053332,0.900475194
18.63832765,9.371638725,0.680366081
18.10134571,5.568937394,0.685790053
17.93612782,5.858116136,0.926075254
18.45053754,1.637450565,0.598473592
13.64854201,4.556438547,0.902998074
18.05451474,9.008965518,0.878059533
11.45477101,3.983814475,0.93626231
19.3368774,8.508108545,0.848523878
13.65685392,2.431407787,0.799567885
19.43770697,6.868254123,0.845412048
17.62205569,1.958488104,0.780818702
16.61004757,7.257046546,0.6538313
10.2193486,1.017905119,0.706543814
11.3633802,7.222814124,0.506248271
15.51294388,7.665689394,0.717459378
13.31546451,4.302533287,0.64057057
10.47279781,3.824675668,0.840280877
14.49522859,0.91822473,0.555446962
19.11168398,1.692854733,0.913945752
17.67499853,2.133051674,0.780471599
19.75905661,7.433811243,0.917532272
19.93905216,2.238152074,0.595396453
14.47832942,7.8378431,0.709820257
16.8036014,5.902464802,0.598142306
16.3199838,4.079205676,0.5931799
19.20035528,6.021717233,0.554277924
19.20561807,8.55937748,0.657902536
16.93659005,7.662020309,0.553387781
12.88766063,9.540237963,0.721281971
16.29033394,7.119941218,0.725484982
15.50938674,1.809872177,0.967103328
12.27374475,4.6491326,0.762025053
10.18805138,8.602890951,0.602867651
14.7476158,9.30836467,0.553643366
11.53452245,0.191332595,0.963206603
14.78489843,4.204794423,0.811154659
12.26944061,4.658274903,0.914973247
15.56662129,2.237610317,0.989569994
15.41695568,1.255902639,0.822198706
12.93462834,5.677439563,0.67171874
11.92201607,1.141557311,0.811559637
18.04811752,3.240166734,0.577917217
17.87301207,1.864476165,0.785460026
12.07649214,3.566294371,0.51428989
17.91753405,5.84927219,0.575925853
12.07633738,0.150361125,0.858454605
11.2612704,0.852956057,0.991889792
19.28388423,3.578756845,0.939257189
17.19042702,8.290450572,0.700031914
19.33717956,9.591555101,0.528899241
17.03363693,6.082009963,0.725603144
18.7859523,1.248360552,0.724624241
15.63764585,9.516724997,0.870474548
