# Length, Width, Layers
8.001261115218492037e+00,2.481708725840258012e+01,7.408352260845152415e-02
1.399299761428575373e+01,1.572538393540753177e+01,3.387237391252971852e-01
3.552513989975710729e+01,3.276581846864013414e+01,7.847299452526219632e-01
2.857624378540148946e+00,2.504683276739046249e+01,2.921415170678827167e-01
1.469215604332877589e+01,2.852395049565027563e+01,9.756329223845389143e-01
3.863496563450551946e+01,2.382082329087733186e+01,7.091272396870399453e-01
1.927103169058629106e+01,8.741255700370111015e+00,4.954210433836779837e-01
3.219785331681342910e+01,2.990646702237613397e+01,4.042359190725115514e-01
2.985867702209145236e+01,3.037920370290472505e+01,7.116496263265018607e-01
3.730876094332944426e+00,1.465666742892085850e+01,3.819924507455763063e-02
1.012196086541363726e+00,7.816218794298679384e-01,5.863275411587420827e-01
2.496151261184905579e+01,2.890284239105366737e+01,2.486847088966163133e-01
1.673627760314669288e+01,3.272341264470374256e+01,7.033609499531341402e-01
2.859310987594776421e+00,5.268857490858773751e+00,3.090450613497424115e-01
2.422409850067985104e+01,3.843070730118851941e+01,2.767070425422338831e-01
1.530077690895483755e+01,5.982949325537174623e+00,7.348221782994180939e-01
3.657073332039009195e+00,1.868434407392050645e+01,8.687306302727274554e-01
2.923716632567109741e+01,3.919442940273651921e+00,5.112788016348474018e-01
1.344279544653859126e+01,3.921589444133592650e+01,4.592723679604003850e-01
3.233082869972173512e+01,3.380227707055968978e+01,5.742877615227440780e-01
8.496144255566179027e+00,8.088848070311760452e-01,3.105805203299261130e-02
1.077345277568319304e+01,2.396601416484216429e+00,1.840206212464493563e-01
3.970214188861828575e+01,1.352441515088699120e+01,3.455018558987250632e-01
2.058890303684270151e+01,2.998406091881355451e+01,8.348416663226744250e-01
1.756263884804059217e+01,8.047752226030260303e+00,3.403141627881914877e-01
4.325052732797596278e+00,1.000177150732446307e+01,1.061042962978855364e-01
1.029094109163955828e+01,3.747728187126072896e+01,2.867870003139744162e-01
1.260919282276152487e+01,1.484869980260679512e+01,1.886617732308264461e-01
3.486373887482190526e+01,3.448117407215197261e+01,3.200470027843378418e-01
3.570988038217404181e+01,6.433556392125048262e+00,2.192197516913664268e-01
1.570250689508903008e+01,2.745003053152916905e+01,2.298757226965307821e-01
4.344476786124622514e+00,3.712941105125757701e+00,1.515063326301392399e-01
2.595043277595352293e+01,1.474043594367207533e+01,2.928817362817245362e-01
2.580394779540147177e+00,1.477285472716695303e+01,1.980828423658939075e-01
2.978637038441583229e+01,1.206829441986824847e+01,6.877007129295442667e-02
2.767802297624993457e+01,3.265131098702268986e+01,7.674108349431432163e-01
1.030825406418878210e+01,3.943465842156493295e+01,8.712781306760324362e-01
2.590484972380586370e+01,9.453334497741444409e+00,3.635097474463460099e-01
2.653429131393651375e+01,3.105369646847132969e+01,8.455217372101641038e-01
1.984439274941131615e+01,1.854635250328163920e+01,6.362013241415970244e-01
3.075179752820003998e+01,3.056832759335605587e+01,3.370431685470743899e-01
2.707201033775889698e+01,9.730230933046769337e+00,6.131237474546710198e-01
1.344013419707554391e+01,2.856217477152604545e+01,9.857022914107576028e-01
2.380917892132119107e+01,9.546788274779922645e+00,9.046335804567633421e-01
1.698681876681457226e+01,1.596057242603528437e+01,9.663393056631656153e-01
3.819533471417323511e+01,2.550093376086735830e+01,3.858548290601369057e-01
3.121598101078162379e+00,1.782786320106349720e+01,6.927848924446460277e-01
1.939235036926573486e+01,2.324796520213928019e+01,1.470522386116132063e-01
4.024057823706916892e+00,1.451967265268287477e+01,7.157240192921965338e-03
2.211484927577789250e-01,1.311288233493928423e+01,8.354617313693968317e-02
2.324747057916005666e+00,1.833425964040532463e+01,2.111328184704730493e-01
4.953675266723451820e+00,1.028302881912226496e+01,6.694819602604795694e-02
8.791098574507882901e-01,2.272044940639347033e+01,7.007751624490865527e-01
3.798664676568271403e+01,3.006831317443029405e+01,5.085484079244103617e-01
1.200960093644260951e+01,3.942567426200541547e+01,3.047639066016905041e-02
1.793770436732481599e+01,2.668197161506417814e+01,8.283547661549349739e-01
1.315925633979538745e+01,1.074099503343938977e+01,8.184553360167748925e-01
2.549727060032145687e+01,2.960509129379711446e+00,7.620723619020051132e-01
2.097260815022691816e+01,3.852000899338877815e+01,3.925180144846631691e-01
8.872121876080383274e+00,3.420654642334870488e+01,2.365112087248966155e-02
1.680176296596016883e+01,2.938643939964458696e+01,3.997654776900307905e-01
3.477092438317810341e+00,2.209098826962771156e+01,8.592953959332835234e-01
3.663453416399750040e+01,1.577362575057686733e+01,8.522330466168425156e-01
2.507986950612552945e+01,1.901741587785632248e+01,8.489251930073378194e-01
