Length,Width,Layer Number
200.54125,100.75634,4.42749
179.38691,110.08364,4.48951
180.29307,163.09105,4.50408
262.32815,180.46022,4.54091
337.63118,106.80648,4.55656
185.10648,116.08412,4.60036
165.25421,167.06195,4.62174
113.38127,65.27549,4.6272
253.1611,123.60271,4.70186
142.57007,139.03021,4.72831
107.49418,84.85852,4.73672
228.0889,106.82113,4.77678
274.25834,193.17746,4.79247
327.36999,165.23615,4.79761
242.81595,161.45997,4.86414
249.65406,98.79106,4.92787
548.23113,305.39478,4.93185
185.43228,96.86821,5.06173
203.85117,127.85536,5.07672
139.20598,128.46234,5.11242
210.96843,175.69767,5.17247
497.90354,149.93132,5.17935
305.55293,278.66849,5.21829
268.99916,172.16142,5.22432
169.65364,159.13098,5.2327
169.32716,117.96595,5.25161
259.85355,135.25402,5.29078
296.20544,50.6282,5.29633
104.41972,95.8098,5.32712
207.5222,162.38332,5.34227
266.31663,154.06708,5.34639
268.30865,165.6425,5.34955
242.25565,97.47817,5.35172
278.75082,178.61397,5.37841
291.55751,157.35645,5.45297
164.83763,107.16675,5.45995
169.94952,57.73092,5.46093
161.03558,108.26364,5.4759
283.08404,146.98867,5.47592
105.25306,85.31392,5.4829
187.6211,121.26628,5.49327
253.96452,172.75521,5.53923
266.03528,94.95271,5.55909
216.73002,143.59399,5.5765
390.2011,254.6308,5.60387
214.39441,167.54287,5.62608
320.37212,196.539,5.64949
217.21706,182.21094,5.67173
189.80966,96.55668,5.67413
94.0435,95.92914,5.7316
441.81764,261.85221,5.76093
133.8373,107.42094,5.76094
189.9451,160.21576,5.77456
232.82459,163.40442,5.84179
289.45803,159.4029,5.85124
219.7621,159.4423,5.86003
207.18092,115.11425,5.86902
337.19949,156.41675,5.87702
358.34882,171.52787,5.88145
310.42561,213.80601,5.89608
289.78939,139.61852,5.914
218.0256,136.35762,5.95684
218.06401,68.60359,5.9843
169.44192,121.24969,6.06698
178.57946,134.58336,6.06873
208.5733,117.38635,6.15562
114.32225,94.29301,6.18272
195.66285,105.31675,6.22504
176.95805,123.00337,6.26113
282.53743,113.85485,6.27527
150.06695,101.10675,6.27575
350.28687,179.72984,6.28103
345.85538,77.09072,6.3026
276.55878,144.27005,6.33918
275.64408,38.9549,6.36799
189.29673,135.9071,6.39105
376.26672,152.07419,6.44688
191.43896,96.11829,6.47501
116.85815,88.81488,6.51903
255.38848,204.92791,6.53019
246.6521,148.80071,6.53796
