Length / nm,Width / nm,Layer Number
25,18,1.05263
27,20,1.05263
70,40,1.05263
47,35,1.05263
58,30,1.05263
60,55,1.05263
90,60,1.05263
40,30,1.05263
80,28,1.05263
50,25,1.05263
105,30,1.05263
100,68,1.05263
40,35,1.05263
22,19,1.05263
30,20,1.05263
35,20,1.05263
47,20,1.05263
40,30,1.05263
45,25,1.05263
37,18,1.05263
35,25,1.05263
65,45,1.05263
55,35,1.05263
100,80,1.05263
38,30,1.05263
65,55,1.05263
110,65,1.05263
55,25,1.05263
48,30,1.05263
85,30,1.05263
40,20,1.05263
75,50,1.05263
110,40,1.05263
50,45,1.05263
70,40,1.05263
55,40,1.05263
30,20,1.05263
50,30,1.05263
60,40,1.05263
40,20,1.05263
60,25,1.05263
50,40,1.05263
75,35,1.05263
70,45,1.05263
37,30,1.05263
50,35,1.05263
127,75,1.05263
90,60,1.05263
115,50,1.05263
75,40,1.05263
130,90,1.05263
90,65,1.05263
100,45,1.05263
100,55,1.05263
60,35,1.05263
27,25,1.05263
45,17,1.05263
27,20,1.05263
27,25,1.05263
30,20,1.05263
70,20,1.05263
45,25,1.05263
24,20,1.05263
95,30,1.05263
45,30,1.05263
40,30,1.05263
70,25,1.05263
100,35,1.05263
25,20,1.05263
42,30,1.05263
48,40,1.05263
19,17,1.05263
70,30,1.05263
77,30,1.05263
50,35,1.05263
85,22,1.05263
55,30,1.05263
45,20,1.05263
65,20,1.05263
45,30,1.05263
23,20,1.05263
60,35,1.05263
33,20,1.05263
31,28,1.05263
94,55,1.05263
27,20,1.05263
40,35,1.05263
50,20,1.05263
125,80,1.05263
65,45,1.05263
60,25,1.05263
27,20,1.05263
110,70,1.05263
35,20,1.05263
160,50,1.05263
65,35,1.05263
60,20,1.05263
145,55,1.05263
130,30,1.05263
25,20,1.05263
70,55,1.05263
30,25,1.05263
65,27,1.05263
70,20,1.05263
27,20,1.05263
27,20,1.05263
55,25,1.05263
26,20,1.05263
45,20,1.05263
135,55,1.05263
57,50,1.05263
135,30,1.05263
105,60,1.05263
40,30,1.05263
30,23,1.05263
120,70,1.05263
55,40,1.05263
180,100,1.05263
40,25,1.05263
37,20,1.05263
40,35,1.05263
50,40,1.05263
20,15,1.05263
100,35,1.05263
28,25,1.21053
40,23,1.26316
60,25,1.31579
35,27,1.31579
27,25,1.31579
20,18,1.31579
50,30,1.31579
30,25,1.31579
27,22,1.31579
60,50,1.31579
26,17,1.31579
35,28,1.31579
60,25,1.31579
25,20,1.31579
80,45,1.31579
65,30,1.31579
30,15,1.31579
37,25,1.31579
42,25,1.31579
50,40,1.31579
48,30,1.31579
100,30,1.31579
42,20,1.31579
115,38,1.31579
65,32,1.31579
32,27,1.31579
65,55,1.31579
50,27,1.31579
50,25,1.31579
45,30,1.31579
27,25,1.31579
25,20,1.31579
45,32,1.31579
40,30,1.31579
105,45,1.31579
38,20,1.31579
60,45,1.31579
52,30,1.31579
50,32,1.31579
55,35,1.31579
35,28,1.31579
65,38,1.31579
50,30,1.31579
60,50,1.31579
37,25,1.31579
48,30,1.31579
30,20,1.31579
25,20,1.31579
35,30,1.31579
50,28,1.31579
26,20,1.31579
27,25,1.31579
100,60,1.31579
60,35,1.31579
45,22,1.31579
160,60,1.31579
40,30,1.31579
45,25,1.31579
130,75,1.31579
30,20,1.31579
140,120,1.31579
50,45,1.31579
45,35,1.31579
34,25,1.31579
55,25,1.31579
45,38,1.31579
47,45,1.31579
27,20,1.31579
40,25,1.31579
53,40,1.31579
65,45,1.31579
33,21,1.31579
90,45,1.31579
27,20,1.31579
170,65,1.31579
85,20,1.31579
37,25,1.31579
27,21,1.31579
25,20,1.31579
68,40,1.31579
25,20,1.31579
25,20,1.31579
60,25,1.31579
78,43,1.31579
90,80,1.31579
60,55,1.31579
24,20,1.31579
35,25,1.31579
60,20,1.57895
68,45,1.57895
88,35,1.57895
80,40,1.57895
45,30,1.57895
85,40,1.57895
57,35,1.57895
110,55,1.57895
68,40,1.57895
45,40,1.57895
65,32,1.57895
68,38,1.57895
77,38,1.57895
105,90,1.57895
27,25,1.57895
70,30,1.57895
65,40,1.57895
42,37,1.57895
50,30,1.57895
35,30,1.57895
40,32,1.57895
25,20,1.57895
30,25,1.57895
34,29,1.57895
35,27,1.57895
80,40,1.57895
48,37,1.57895
50,30,1.57895
45,38,1.57895
40,30,1.57895
47,25,1.57895
120,100,1.57895
45,40,1.57895
60,40,1.57895
25,20,1.57895
35,25,1.57895
130,60,1.57895
35,30,1.57895
25,20,1.57895
55,30,1.57895
19,17,1.57895
105,38,1.57895
19,17,1.57895
72,40,1.57895
100,50,1.57895
35,25,1.57895
22,20,1.57895
45,37,1.57895
95,30,1.57895
24,17,1.57895
40,37,1.57895
60,40,1.57895
35,20,1.57895
40,30,1.57895
25,20,1.57895
55,50,1.57895
40,30,1.57895
40,30,1.57895
75,45,1.57895
23,20,1.57895
55,45,1.57895
60,25,1.57895
40,38,1.57895
40,20,1.57895
60,40,1.57895
40,20,1.57895
50,45,1.57895
40,25,1.57895
30,25,1.57895
70,38,1.57895
55,33,1.57895
42,20,1.57895
50,30,1.57895
75,28,1.57895
78,50,1.57895
52,20,1.57895
45,25,1.57895
40,25,1.57895
38,27,1.57895
140,90,1.57895
65,40,1.57895
78,35,1.57895
35,30,1.57895
40,25,1.57895
75,55,1.57895
70,35,1.57895
25,20,1.57895
80,55,1.57895
130,60,1.57895
27,20,1.57895
68,30,1.57895
60,50,1.57895
60,55,1.57895
80,50,1.57895
38,30,1.57895
80,52,1.57895
70,50,1.57895
33,28,1.57895
55,22,1.57895
45,30,1.57895
28,25,1.57895
40,30,1.57895
40,38,1.57895
100,60,1.57895
80,70,1.57895
47,35,1.57895
60,27,1.57895
90,55,1.57895
60,45,1.57895
70,50,1.57895
70,35,1.57895
45,40,1.57895
32,28,1.57895
80,40,1.57895
65,38,1.57895
45,30,1.57895
40,25,1.57895
32,26,1.57895
100,38,1.57895
35,27,1.57895
60,30,1.57895
35,30,1.57895
145,38,1.57895
42,30,1.57895
50,22,1.57895
130,30,1.57895
35,30,1.57895
48,35,1.57895
80,35,1.57895
140,105,1.57895
100,35,1.57895
35,30,1.57895
85,50,1.57895
55,37,1.57895
73,30,1.57895
90,45,1.57895
55,40,1.57895
40,38,1.57895
60,50,1.57895
35,30,1.57895
26,20,1.57895
53,40,1.57895
135,40,1.57895
75,60,1.57895
35,25,1.84211
90,70,1.84211
27,25,1.84211
140,130,1.84211
80,55,1.84211
67,45,1.84211
95,78,1.84211
35,30,1.84211
27,20,1.84211
125,70,1.84211
58,35,1.84211
60,40,1.84211
95,55,1.84211
40,20,1.84211
40,25,1.84211
55,38,1.84211
50,45,1.84211
37,30,1.84211
90,65,1.84211
60,40,1.84211
70,35,1.84211
70,60,1.84211
55,40,1.84211
68,40,1.84211
75,45,1.84211
55,35,1.84211
35,30,1.84211
70,50,1.84211
35,20,1.84211
67,35,1.84211
40,32,1.84211
40,35,1.84211
65,50,1.84211
60,35,1.84211
30,25,1.84211
55,40,1.84211
35,30,1.84211
60,30,1.84211
