Length,Width,Layer Number
154.98511,82.57006,1.81926
145.44446,83.42399,1.83353
215.00844,95.22997,1.97926
117.06331,86.88368,2.01315
280.81236,202.86118,2.0828
326.13146,243.03594,2.21114
415.78191,121.54532,2.29253
153.88012,109.97339,2.32339
161.74448,75.78567,2.32579
239.0025,233.1941,2.37063
493.74798,108.95408,2.39122
291.18364,49.29382,2.4992
184.70134,40.54773,2.53534
163.66833,77.0018,2.59623
82.20236,57.06757,2.64703
171.26259,116.83431,2.68503
200.06107,151.47293,2.77615
116.51266,67.0992,2.79102
142.53357,127.62291,2.79977
110.91375,58.53757,2.87536
320.11953,152.14287,2.89851
120.18648,56.80083,2.89944
191.15849,126.34617,2.92263
126.99618,94.81094,2.95518
133.03537,25.00025,2.96167
124.24918,95.17043,2.97321
143.90694,97.27862,3.00396
145.74068,68.47129,3.06146
194.32612,122.51846,3.07392
83.56149,39.48938,3.09595
186.91858,113.29814,3.10252
298.76317,120.46609,3.10606
106.24233,80.44655,3.20416
91.05809,59.15506,3.20728
159.42552,115.88978,3.2073
204.91846,103.4774,3.21744
210.61641,113.29101,3.22128
222.91078,97.85533,3.26515
230.35992,86.15922,3.26957
160.8596,132.74037,3.38636
318.24062,115.52642,3.41045
103.43591,50.82194,3.43016
110.32945,42.08987,3.45998
336.053,229.99097,3.47154
256.33276,142.51741,3.50114
197.41434,126.18448,3.50415
106.00785,47.36102,3.50727
218.5593,61.82091,3.55875
252.76848,49.68563,3.58622
160.86617,86.16173,3.60636
96.14561,69.22274,3.60931
265.34346,132.26239,3.61206
203.93903,148.29612,3.61442
276.59911,95.11968,3.66447
300.94512,226.86939,3.67869
168.02235,62.64704,3.68232
96.8674,48.3923,3.702
156.44821,103.48352,3.70298
117.69299,70.03512,3.70536
119.22319,84.45588,3.93218
141.09097,121.53216,3.96407
289.33188,74.0879,3.97749
204.49382,106.4586,3.9961
173.9304,79.6274,3.99693
168.52501,72.34751,4.00317
120.87225,87.06341,4.05402
148.91208,49.14566,4.09163
474.38571,78.64386,4.11935
182.62571,123.38159,4.1541
194.3811,89.90356,4.17054
166.58497,45.04007,4.2347
196.85155,163.09822,4.26105
140.39415,69.51484,4.26199
331.37041,130.65405,4.27493
105.29155,84.93974,4.30316
165.82914,63.83929,4.31146
96.12928,58.80882,4.31916
162.00592,126.50111,4.32368
330.95228,200.07534,4.32698
251.4477,114.23778,4.3451
109.06572,67.8606,4.41151
233.97011,175.17282,4.41391
102.17578,93.79436,4.4623
288.5088,174.56068,4.56323
116.03037,89.60602,4.60165
152.96558,49.81257,4.63128
86.08094,59.78657,4.66021
90.40776,75.39504,4.66525
383.42558,172.48154,4.68253
210.85311,89.07688,4.68833
114.45327,67.4178,4.70671
194.09392,106.59212,4.72311
242.16907,181.93812,4.7376
198.13794,70.41773,4.80624
257.61121,109.91382,4.81066
104.50442,44.08749,4.82022
197.13932,112.3948,4.8422
143.25497,76.8971,4.8505
333.59761,107.98728,4.85787
98.57422,56.96683,4.87817
140.62806,49.63891,4.89721
196.00841,94.1769,4.899
183.13491,82.12421,4.94122
155.3344,86.32276,4.94947
107.73362,50.90856,4.95447
160.24741,123.37986,4.97104
124.64564,102.30506,5.03051
224.81253,86.94301,5.06463
248.70036,96.531,5.0778
237.21379,132.53937,5.13433
258.33452,96.08731,5.21669
181.07425,142.00443,5.22262
113.3064,86.08307,5.24107
97.43032,75.08814,5.26361
110.97873,84.78233,5.27771
116.74565,100.23333,5.29813
101.26843,63.40404,5.41713
170.30885,98.75191,5.42283
76.14418,48.53633,5.54911
131.74479,75.83002,5.55265
93.97973,75.50863,5.6112
308.75902,129.50102,5.61433
146.73345,50.77271,5.6178
322.13563,160.27603,5.65592
230.54619,106.20582,5.66418
182.15878,148.78578,5.66772
191.73018,49.18835,5.7631
194.44596,55.18631,5.80623
132.88899,61.83843,5.81762
79.03208,59.95985,5.85244
240.01207,42.57825,5.87677
125.51773,69.80488,5.88437
146.62777,42.44302,5.90419
191.96234,114.50837,5.94509
179.86662,50.68406,5.95472
148.92062,89.48343,5.9758
76.27239,68.3453,5.97766
154.07627,77.73126,6.03693
214.06614,72.98926,6.08698
207.81798,101.37005,6.10919
78.25937,40.16231,6.17061
263.0425,79.31574,6.18064
106.48507,85.59547,6.1918
161.6419,93.97668,6.23853
290.6875,217.84747,6.2594
104.07219,58.10933,6.26178
164.97419,76.86011,6.3252
142.7251,39.71419,6.36682
178.03736,78.96918,6.39605
95.60809,59.0855,6.41796
169.03162,76.14772,6.46924
127.04256,88.07683,6.49099
162.03148,74.68504,6.51411
151.5341,62.49989,6.57172
230.93203,95.35038,6.58453
288.47454,108.70897,6.58932
201.40894,112.47205,6.59535
129.09878,70.64307,6.59904
217.65323,147.35645,6.64816
406.2166,212.94307,6.64839
208.92752,63.9707,6.83893
106.72545,51.22075,6.96535
168.73956,84.36311,6.99265
112.84062,67.25305,7.08094
190.91154,135.90451,7.09223
262.76906,142.91244,7.10825
129.28424,59.89749,7.13903
210.89068,88.97034,7.17037
170.51765,115.99576,7.22277
149.52337,93.83505,7.26917
152.61193,73.13992,7.2764
140.64308,67.16042,7.34138
188.9336,84.04621,7.36999
318.98053,197.93266,7.40831
299.61955,94.78981,7.48118
224.4082,124.68899,7.48974
196.39752,74.40386,7.4987
159.92414,133.09074,7.54619
305.44107,68.90754,7.57312
266.92707,60.3973,7.61918
114.77282,53.3295,7.67347
200.6813,100.23499,7.70378
111.7515,44.35525,7.7951
155.2899,132.92931,7.80093
224.7166,131.75016,7.80532
165.00792,80.95941,7.8099
286.44358,48.84886,7.84172
123.64127,87.03857,7.91706
207.82613,123.29858,7.94571
178.40711,87.20196,7.94697
122.3227,107.34332,7.986
96.73516,58.61222,8.01783
262.33264,102.16783,8.02245
128.56629,100.93417,8.0238
140.08946,73.79438,8.04595
161.14114,69.24054,8.09241
193.35777,101.746,8.26353
86.3143,76.62147,8.2893
148.97067,93.59467,8.30183
145.40924,81.77483,8.3861
381.61517,102.22505,8.44791
351.69062,101.79796,8.44877
589.15719,67.70943,8.55682
276.88877,189.04655,8.61649
244.56277,105.12627,8.62211
143.12504,81.46322,8.63149
285.76388,126.96764,8.65496
251.39561,243.61626,8.66905
116.36017,62.58978,8.74698
284.51777,30.11754,8.77235
120.97877,102.1071,8.78242
311.36587,150.4986,8.81446
120.80806,65.15247,8.83001
134.81635,71.19606,8.91301
174.15885,106.9138,8.93568
169.56076,64.93164,8.9577
93.59467,86.63387,9.01106
136.35384,80.07936,9.04078
145.76881,85.95553,9.08207
111.41683,70.2474,9.33389
284.73472,211.77129,9.34768
193.35372,167.72986,9.3787
258.25651,185.35911,9.37906
89.80382,63.42727,9.39981
241.61192,168.24805,9.42369
255.67237,169.7446,9.42415
410.07846,187.02976,9.51704
128.6949,68.25727,9.54745
298.69739,213.09013,9.61575
99.19653,51.88079,9.66574
154.8636,108.26199,9.68451
101.19302,78.26613,9.74396
123.00441,79.45218,9.75402
177.09171,126.39825,9.97434
182.75675,31.60458,9.98978
138.67388,107.0204,10.01755
140.00926,68.00535,10.0519
122.81447,76.135,10.09743
108.16167,49.93253,10.10505
246.0148,161.65461,10.13685
324.33299,176.57709,10.1693
134.30508,110.54293,10.26112
99.12128,49.62812,10.26254
208.77304,61.99282,10.30448
118.0231,69.35972,10.48293
179.95401,137.3479,10.63394
106.67059,95.3383,10.70247
190.77716,112.10936,10.75509
191.61747,152.81991,10.78012
222.04059,127.71399,10.84784
216.04497,142.85681,10.90843
101.37549,100.91767,10.95819
246.44383,93.06994,11.06837
330.99702,142.66801,11.09926
200.64681,90.99756,11.13969
141.0744,131.14876,11.14701
99.3035,59.7976,11.16433
171.00997,82.72254,11.19794
188.79302,114.23823,11.45544
329.94779,158.01677,11.59966
65.41421,53.29488,11.68226
363.34126,192.48056,11.70045
232.39653,192.02367,11.76122
246.50437,187.44064,11.7758
190.77433,97.83872,11.7788
190.55575,165.3877,11.90558
173.38788,69.18065,12.08713
111.07429,58.40746,12.1482
178.24766,149.02471,12.15681
171.63788,100.69064,12.24267
425.89571,232.78204,12.29854
178.93646,108.30629,12.32206
101.71366,93.65844,12.3775
345.52328,206.21578,12.4447
279.81173,113.03637,12.45219
328.57138,197.32974,12.52126
87.7465,49.90266,12.63452
176.35408,159.2119,12.71556
88.36461,50.80196,12.76051
223.93286,141.61729,12.82258
134.66668,159.20081,12.83711
198.92324,52.48955,12.91492
366.20322,225.01159,13.11421
143.06594,94.95566,13.23673
161.08098,151.64407,13.35654
133.05697,69.73019,13.89025
194.33734,110.95141,13.98282
475.59381,175.82206,14.03119
280.28477,81.21384,14.40948
277.50994,77.03075,14.55925
192.6461,77.62921,14.63756
229.2747,112.32243,14.69764
106.6831,69.36695,14.70518
139.93885,84.29029,14.73894
172.30257,57.15694,14.88378
441.90349,127.79819,15.0999
185.14278,179.56516,15.12875
149.50499,87.56719,15.14898
368.79075,136.37535,17.98391
