Length,Width,Thickness
12.12373,1.44993,1.57164
10.21249,5.77473,1.90441
18.03566,1.95583,1.63195
10.46292,1.80859,1.80242
17.86186,6.40158,1.77853
13.67821,6.93064,1.95075
19.92314,5.42374,1.77416
14.84306,8.83452,1.71065
18.19424,5.80379,1.7305
13.94802,9.2434,1.75762
18.4873,8.28473,1.83767
10.1503,9.61513,1.77786
15.75259,4.32841,1.72698
16.53606,7.695,1.8033
11.17766,9.36521,1.80287
17.5285,7.54099,1.50852
16.5211,4.46989,1.94818
18.83345,3.92552,1.79655
18.79709,9.95065,1.57136
18.75623,1.51979,1.98032
15.95299,4.12383,1.67323
18.82047,1.40539,1.7814
11.72636,5.4861,1.52782
15.55229,2.19753,1.87238
16.09507,0.64818,1.8654
18.86609,3.35135,1.55232
12.77429,0.26724,1.75532
17.7673,0.85362,1.95163
15.00257,9.06498,1.79805
19.12789,2.52578,1.59824
13.01969,3.95018,1.85279
11.61552,0.51347,1.72631
17.82615,1.40151,1.55256
13.9875,6.08015,1.90806
19.15582,0.42362,1.93265
10.01615,1.87682,1.84912
14.96625,1.42801,1.96184
11.75573,3.95584,1.70911
10.21154,6.11557,1.54071
17.47058,6.76701,1.93171
17.62472,1.6764,1.64119
14.1091,8.76162,1.56683
12.05918,6.91444,1.72997
19.5193,0.71421,1.62639
13.06154,8.80251,1.85212
12.40036,5.62207,1.39345
10.9576,1.09538,1.33507
12.78829,2.95234,1.05339
15.59959,1.19414,1.37965
16.33868,5.00555,1.44775
16.19573,3.72309,1.07962
17.48081,9.46201,1.16709
15.04886,4.66379,1.19996
10.70422,3.54877,1.27816
13.21653,3.59311,1.40334
16.04832,5.07903,1.14042
17.17813,7.06634,1.36927
16.67952,9.98261,1.14827
16.62746,7.96471,1.46731
13.59072,2.5977,1.1413
12.77767,8.99033,1.18788
18.13976,2.37955,1.0187
16.73525,2.35941,1.23648
14.66468,9.39311,1.0836
15.49956,8.44299,1.13124
16.55338,7.53552,1.41865
13.63942,4.66965,1.01108
19.99218,7.44412,1.17862
14.14088,7.76752,1.22644
15.30037,4.57226,1.46304
19.06774,3.95762,1.20289
12.85675,1.37147,1.479
14.87948,3.26082,1.35403
13.27908,4.93841,1.40094
14.29457,2.35223,1.26021
18.87636,3.91265,1.09507
10.47725,1.68254,1.03715
19.15636,4.91801,1.00512
12.02138,0.82924,1.06998
16.53183,9.96742,1.01357
19.59343,4.33635,1.4316
11.36653,8.70437,1.10516
11.11146,3.55767,1.20886
19.23965,0.45809,1.49426
19.17379,6.79169,1.41249
15.03885,9.93165,1.40856
15.7395,6.60119,1.27425
10.40269,8.75001,1.04706
18.98942,8.64256,1.17693
12.87918,6.76892,1.346
10.86265,1.96549,1.17925
19.27527,3.35974,1.17825
16.74909,9.68548,1.28982
11.63588,8.68507,1.41963
12.54595,1.26143,1.0552
10.8706,3.90917,1.25328
12.57156,9.92231,1.10588
11.06321,2.50637,1.29891
18.16706,4.02172,1.24984
17.24112,2.03794,1.13867
15.57116,8.60752,1.43039
14.86082,6.96996,1.11437
17.9042,6.685,1.08592
13.28439,1.71389,1.17673
18.40724,5.28016,1.33485
17.59205,0.6911,1.22498
13.22768,3.45884,1.47534
16.39326,0.94824,1.18782
11.18616,3.99479,1.0599
12.38563,7.77633,1.24774
13.63301,2.72963,1.32965
19.607,0.38349,1.27544
18.39753,4.848,1.17154
11.36415,8.35079,1.33869
13.21979,6.17163,1.1545
14.25953,2.21722,1.25035
11.0381,6.94112,1.44676
17.53812,0.24864,1.45766
15.58427,8.87725,1.22495
15.51344,0.12363,1.04119
12.27831,7.58021,1.16306
15.32364,3.88683,1.25296
10.89056,0.11116,1.28868
18.33381,5.01998,1.15963
11.07252,1.05892,1.01644
19.77868,6.55462,1.33979
18.85608,0.78383,1.12189
16.89621,7.83548,1.04622
12.22312,9.0083,1.23944
16.94346,1.28297,1.47104
16.71055,9.95204,1.34085
19.73815,7.22795,1.0226
19.03992,6.8489,1.19943
16.5047,8.23139,1.11882
14.73016,9.90771,1.17173
15.60386,2.45576,1.36154
18.67179,3.49785,1.15995
10.96384,0.47793,1.42869
11.6185,2.36938,1.43539
17.6637,7.86134,1.26335
15.94215,0.80558,1.43568
14.45436,3.57066,1.04037
18.97817,3.11744,1.35864
15.79091,4.02493,1.23721
15.18798,7.99694,1.16461
14.99752,8.58204,1.3019
13.06217,8.18872,1.44698
13.50232,4.59669,1.15481
17.26651,9.79661,1.05183
17.59128,5.38756,1.25821
17.70195,6.5739,1.34257
