IPA wt.,Temp,Density
0.00101,25,0.99651
0.20277,25,0.96694
0.39424,25,0.92753
0.4486,25,0.9154
0.51006,25,0.90132
0.54777,25,0.89331
0.60017,25,0.88206
0.69419,25,0.85707
0.78625,25,0.83463
1.0005,25,0.78108
0,25,0.99702
0.0915,25,0.98205
0.2131,25,0.96029
0.3299,25,0.93693
0.4795,25,0.90669
0.5009,25,0.90131
0.618,25,0.87445
0.684,25,0.85873
0.7874,25,0.83401
0.8788,25,0.81199
0.8976,25,0.80744
0.9154,25,0.80301
0.9311,25,0.79905
0.9502,25,0.79422
0.9752,25,0.78771
0.9895,25,0.7838
1,25,0.78082
1,25,0.78082
0.983892666,25,0.7854
0.967538809,25,0.78973
0.948133803,25,0.79483
0.929235833,25,0.79953
0.883419089,25,0.81079
0.831867364,25,0.82357
0.769843719,25,0.8382
0.764340865,25,0.83952
0.705169991,25,0.85366
0.637105494,25,0.86983
0.619433631,25,0.87403
0.61002524,25,0.87621
0.57488485,25,0.88443
0.486234067,25,0.9055
0.341800154,25,0.9386
0.228328281,25,0.96171
0.226444454,25,0.96199
0.150468248,25,0.97367
0.077183259,25,0.984
0.076885174,25,0.98404
0,25,0.99702
0,25,0.99705
0.149133925,25,0.97319
0.270084162,25,0.95122
0.370150297,25,0.93136
0.454311454,25,0.91346
0.526080477,25,0.89696
0.588006663,25,0.88231
0.641984931,25,0.86934
0.689453125,25,0.85759
0.731521989,25,0.84711
0.769063181,25,0.83803
0.802770312,25,0.82979
0.833202203,25,0.82225
0.860814106,25,0.81574
0.885980638,25,0.80983
0.909012876,25,0.80443
0.930171278,25,0.79946
0.949675582,25,0.79475
0.967712458,25,0.79023
0.984441509,25,0.78567
1,25,0.78118
0,35,0.99403
0.149133925,35,0.96832
0.270084162,35,0.94522
0.370150297,35,0.92438
0.454311454,35,0.90579
0.526080477,35,0.8888
0.588006663,35,0.87367
0.641984931,35,0.86034
0.689453125,35,0.84843
0.731521989,35,0.83786
0.769063181,35,0.82877
0.802770312,35,0.82059
0.833202203,35,0.81305
0.860814106,35,0.80658
0.885980638,35,0.8007
0.909012876,35,0.79532
0.930171278,35,0.7904
0.949675582,35,0.78571
0.967712458,35,0.78111
0.984441509,35,0.77658
1,35,0.77232
0,45,0.99016
0.149133925,45,0.96332
0.270084162,45,0.93902
0.370150297,45,0.91738
0.454311454,45,0.89789
0.526080477,45,0.88028
0.588006663,45,0.86483
0.641984931,45,0.8512
0.689453125,45,0.83917
0.731521989,45,0.82863
0.769063181,45,0.81947
0.802770312,45,0.81137
0.833202203,45,0.80379
0.860814106,45,0.79732
0.885980638,45,0.7916
0.909012876,45,0.78633
0.930171278,45,0.78147
0.949675582,45,0.77681
0.967712458,45,0.77229
0.984441509,45,0.76779
1,45,0.76361
1,0,0.8003
0,0.01,0.99984
1,10,0.7931
0,10,0.9997
0.01,20,0.996
0.02,20,0.9939
0.03,20,0.992
0.04,20,0.9902
0.05,20,0.9884
0.06,20,0.9871
0.07,20,0.9855
0.08,20,0.9843
0.09,20,0.9831
0.1,20,0.9816
0.12,20,0.9793
0.14,20,0.9772
0.16,20,0.9751
0.18,20,0.9725
0.2,20,0.9696
0.4,20,0.9302
0.6,20,0.8824
0.8,20,0.8341
1,20,0.7848
1,20,0.7885
0,20,0.99821
0,25,0.99705
1,30,0.7774
0,30,0.99565
0,40,0.99222
0,50,0.98803
