IPA wt.,Temp,Viscosity
0.00101,25,0.89072
0.20179,25,2.08793
0.39424,25,2.9238
0.4464,25,3.04101
0.50908,25,3.09922
0.54581,25,3.11296
0.59894,25,3.09598
0.69321,25,2.91976
0.78503,25,2.66835
0.99952,25,2.05721
1,25,2.078
0.984215679,25,2.061
0.967781881,25,2.073
0.930779467,25,2.138
0.884968566,25,2.281
0.835452042,25,2.456
0.766065868,25,2.693
0.686227507,25,2.915
0.58464788,25,3.082
0.531236719,25,3.105
0.472706071,25,3.074
0.397059675,25,2.933
0.295995847,25,2.59
0.221946588,25,2.205
0.16678569,25,1.848
0.108052084,25,1.453
0.057223561,25,1.155
0,25,0.8904
0,25,0.891
0.132628058,25,1.576
0.215976834,25,2.198
0.36960145,25,2.854
0.480399642,25,3.097
0.570940156,25,3.053
0.692650854,25,2.862
0.769063181,25,2.646
0.787232925,25,2.581
0.822233297,25,2.489
0.880980287,25,2.283
0.925003278,25,2.177
0.948736651,25,2.106
1,25,2.031
0,25,0.89
0.149133925,25,1.755
0.270084162,25,2.357
0.370150297,25,2.766
0.454311454,25,3.005
0.526080477,25,3.117
0.588006663,25,3.109
0.641984931,25,3.05
0.689453125,25,2.94
0.731521989,25,2.812
0.769063181,25,2.667
0.802770312,25,2.522
0.833202203,25,2.405
0.860814106,25,2.305
0.885980638,25,2.226
0.909012876,25,2.179
0.930171278,25,2.149
0.949675582,25,2.124
0.967712458,25,2.117
0.984441509,25,2.099
1,25,2.071
0,35,0.725
0.149133925,35,1.276
0.270084162,35,1.669
0.370150297,35,1.929
0.454311454,35,2.083
0.526080477,35,2.166
0.588006663,35,2.174
0.641984931,35,2.147
0.689453125,35,2.085
0.731521989,35,2.007
0.769063181,35,1.923
0.802770312,35,1.838
0.833202203,35,1.762
0.860814106,35,1.702
0.885980638,35,1.651
0.909012876,35,1.619
0.930171278,35,1.596
0.949675582,35,1.584
0.967712458,35,1.57
0.984441509,35,1.559
1,35,1.548
0,45,0.595
0.149133925,45,0.983
0.270084162,45,1.243
0.370150297,45,1.423
0.454311454,45,1.539
0.526080477,45,1.58
0.588006663,45,1.599
0.641984931,45,1.582
0.689453125,45,1.545
0.731521989,45,1.491
0.769063181,45,1.44
0.802770312,45,1.384
0.833202203,45,1.334
0.860814106,45,1.291
0.885980638,45,1.258
0.909012876,45,1.235
0.930171278,45,1.217
0.949675582,45,1.206
0.967712458,45,1.196
0.984441509,45,1.183
1,45,1.176
1,0,4.62
0,0.01,1.7911
0,10,1.3059
0.01,20,1.056
0.02,20,1.112
0.03,20,1.166
0.04,20,1.225
0.05,20,1.287
0.06,20,1.357
0.07,20,1.417
0.08,20,1.485
0.09,20,1.553
0.1,20,1.629
0.12,20,1.794
0.14,20,1.97
0.16,20,2.16
0.18,20,2.352
0.2,20,2.55
0,20,1.0016
1,25,2.04
0,25,0.89002
0,30,0.79722
0,40,0.65273
1,50,1.028
0,50,0.54652
